business_id,date,code,description
67013,6/23/16,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
67013,6/23/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
71072,6/27/16,1,"Standard not met. Food Sources: Source, Records, Condition, Spoilage, Adulterated"
71072,6/27/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
71072,6/27/16,13,Standard not met. Personnel: Supervision: Person in charge present and demonstrates knowledge of food safety principles
71072,6/27/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
71072,6/27/16,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
71072,6/27/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
71072,6/27/16,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
30745,9/28/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
30745,9/28/15,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
30745,9/28/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
30745,9/28/15,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
30745,9/28/15,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
30745,9/28/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30745,3/30/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30745,3/30/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
81536,2/12/16,16,"Standard not met. Food Equipment & Utensils: Dishwashing facilities designed, constructed, maintained, installed, located, operated. Accurate therm., chem. test kits, gauge"
42242,1/5/16,23,"Standard not met. Plumbing: Installed, maintained"
42242,7/14/16,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
99403,3/22/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
99403,4/22/16,1,"Standard not met. Food Sources: Source, Records, Condition, Spoilage, Adulterated"
99403,4/22/16,4,Standard not met. Food Protection: Facilities to maintain product temp.
99403,4/22/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
99403,4/22/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
85539,11/16/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
85539,5/2/16,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
85539,5/2/16,33,"Standard not met. Other Operations: Toxic Items properly stored, labeled, used"
60544,7/29/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
60544,7/29/15,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
60544,7/29/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
60544,7/29/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
60544,7/29/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
60544,1/12/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
60544,1/12/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
39671,11/17/15,5,Standard not met. Food Protection: Thermometers provided and conspicuous
39671,11/17/15,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
39671,11/17/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
39671,6/9/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
71880,9/8/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
71880,9/8/15,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
71880,9/8/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
71880,2/8/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
71880,2/8/16,23,"Standard not met. Plumbing: Installed, maintained"
76520,10/21/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
76520,10/21/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
76520,3/28/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
76520,3/28/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
76520,3/28/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30794,12/1/15,23,"Standard not met. Plumbing: Installed, maintained"
30794,12/1/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30794,6/9/16,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
31459,2/9/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
31459,2/9/16,9,Standard not met. Food Protection: Handling of food (ice) minimized. Dispensing utensils properly stored during use.
31459,2/9/16,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
31459,2/9/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
31459,2/9/16,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
31459,2/9/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
31459,2/9/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
31459,2/9/16,23,"Standard not met. Plumbing: Installed, maintained"
31459,2/9/16,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
31459,2/9/16,28,"Standard not met. Insect, Rodent, Animal Control: No insects, rodents, birds, turtles, other animals"
31459,2/9/16,29,Standard not met. Outer Openings: Outer openings protected
31459,2/9/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
31459,2/9/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
31459,2/24/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
31459,2/24/16,23,"Standard not met. Plumbing: Installed, maintained"
36043,2/9/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
36043,2/9/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
36043,2/9/16,23,"Standard not met. Plumbing: Installed, maintained"
36043,2/9/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
36043,2/9/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
76790,2/3/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
48387,11/23/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
48387,11/23/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
48387,11/23/15,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
48387,4/19/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
48387,4/19/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
48387,4/19/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
48691,11/16/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
48691,5/10/16,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
49229,12/18/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
49229,12/18/15,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
49229,5/12/16,27,"Standard not met. Garbage Disposal: Containers or receptacles, covered, adequate number, insect/rodent proof, frequency, clean. Outside storage area enclosures properly constructed, clean, controlled incineration."
49229,5/12/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30759,10/1/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
30759,10/1/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30759,10/1/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
30759,3/11/16,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
30759,3/11/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
30759,3/11/16,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
30756,10/12/15,12,"Standard not met. Personnel: Clean clothes, hair restraints"
30756,10/12/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30756,5/9/16,12,"Standard not met. Personnel: Clean clothes, hair restraints"
30756,5/9/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30756,5/9/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
30756,5/9/16,23,"Standard not met. Plumbing: Installed, maintained"
30756,5/9/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30756,5/9/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
30761,5/10/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30761,5/10/16,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
30762,9/30/15,12,"Standard not met. Personnel: Clean clothes, hair restraints"
30762,9/30/15,27,"Standard not met. Garbage Disposal: Containers or receptacles, covered, adequate number, insect/rodent proof, frequency, clean. Outside storage area enclosures properly constructed, clean, controlled incineration."
62651,10/26/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30760,10/16/15,32,"Standard not met. Lighting: Lighting provided as required, fixtures shielded"
30760,6/24/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
30760,6/24/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
30758,9/16/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
30758,9/16/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30758,9/16/15,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30758,3/25/16,30,"Standard not met. Floors, Walls, Ceilings & Ventilation: Floors constructed, drained, clean, good repair, covering installation, easily cleanable"
30763,9/22/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30763,4/4/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
30763,4/4/16,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
91858,12/10/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
30904,5/10/16,3,Standard not met. Food Protection: Potentially hazardous food - safe temp.
30904,5/10/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
30904,5/10/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
63815,9/14/15,1,"Standard not met. Food Sources: Source, Records, Condition, Spoilage, Adulterated"
63815,9/14/15,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
30764,10/6/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
30767,8/28/15,4,Standard not met. Food Protection: Facilities to maintain product temp.
30767,8/28/15,5,Standard not met. Food Protection: Thermometers provided and conspicuous
30767,9/11/15,3,Standard not met. Food Protection: Potentially hazardous food - safe temp.
30767,3/28/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
30766,9/15/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
30768,4/4/16,2,"Standard not met. Food Sources: Container, properly labeled"
30768,4/4/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
96454,10/13/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
96454,4/1/16,1,"Standard not met. Food Sources: Source, Records, Condition, Spoilage, Adulterated"
96454,4/1/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
96454,4/1/16,9,Standard not met. Food Protection: Handling of food (ice) minimized. Dispensing utensils properly stored during use.
96454,4/1/16,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
96454,4/1/16,12,"Standard not met. Personnel: Clean clothes, hair restraints"
96454,4/1/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
96454,4/1/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
96454,4/1/16,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
96454,4/1/16,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
96454,4/1/16,29,Standard not met. Outer Openings: Outer openings protected
96454,4/1/16,33,"Standard not met. Other Operations: Toxic Items properly stored, labeled, used"
96454,4/1/16,34,"Standard not met. Other Operations: Premises main, free of litter, misc. articles, cleaning/maint. equip. properly stored. Authorized personnel rooms clean, lockers provided, located, used."
96454,4/13/16,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
96454,4/13/16,12,"Standard not met. Personnel: Clean clothes, hair restraints"
96454,4/13/16,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
77498,11/2/15,12,"Standard not met. Personnel: Clean clothes, hair restraints"
77498,11/2/15,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
77498,4/14/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
77498,4/14/16,12,"Standard not met. Personnel: Clean clothes, hair restraints"
77498,4/14/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
43117,10/5/15,23,"Standard not met. Plumbing: Installed, maintained"
43117,4/4/16,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
43117,4/4/16,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
43117,4/4/16,19,Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces of equip/utensils clean
50280,12/14/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
50280,12/14/15,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
50280,12/14/15,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
50280,12/14/15,31,"Standard not met. Floors, Walls, Ceilings & Ventilation: Walls, ceiling, attached equipment constructed, good repair, clean surfaces, easily cleanable. Rooms and equipment vented as required."
50280,6/21/16,15,"Standard not met. Food Equipment & Utensils: Food/Non-food contact surfaces designed, constructed, maintained, installed"
71975,10/5/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
71975,10/5/15,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
71975,10/5/15,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
71975,10/5/15,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
71975,10/5/15,33,"Standard not met. Other Operations: Toxic Items properly stored, labeled, used"
71975,10/15/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
71975,10/15/15,18,"Standard not met. Food Equipment & Utensils: Wiping cloths clean, use restricted"
71975,10/15/15,20,"Standard not met. Food Equipment & Utensils: Storage, handling of clean equipment/utensils/single service articles"
71975,10/15/15,26,"Standard not met. Toilet & Handwashing Facilities: Toilet rooms enclosed, self-closing doors, fixtures, good repair, clean, tissue, hand cleansers, sanitary towels/hand-drying devices provided, proper waste receptacles"
71975,5/16/16,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
71975,5/16/16,23,"Standard not met. Plumbing: Installed, maintained"
38315,2/17/16,11,"Standard not met. Personnel: Hands washed and clean, hygienic practices preventing contamination from hands"
89410,11/23/15,5,Standard not met. Food Protection: Thermometers provided and conspicuous
89410,11/23/15,8,"Standard not met. Food Protection: Food Protection - storage, prep, display, service, transp."
89410,11/23/15,12,"Standard not met. Personnel: Clean clothes, hair restraints"
89410,11/23/15,17,"Standard not met. Food Equipment & Utensils: Sanitization rinse, temp., conce., exp. time, equip. utensils, sanitized"
